"","game_seconds_remaining","ydstogo","posteam_score","first_down","runningRush","runningPass","yardline_100","play_type"
"1",3535,1,0,1,5,6,66,"run"
"2",3411,9,0,0,5,21,51,"pass"
"3",3291,5,0,1,5,6,78,"pass"
"4",3208,13,0,0,10,3,75,"run"
"5",3070,1,0,1,8,30,67,"pass"
"6",2760,9,0,0,44,33,11,"pass"
"7",2614,9,3,0,41,37,36,"pass"
"8",2447,2,7,1,32,56,56,"pass"
"9",2222,7,6,0,49,37,81,"pass"
"10",2106,10,7,0,35,86,37,"pass"
"11",1906,20,6,0,58,63,71,"run"
"12",1862,10,7,0,35,100,74,"pass"
"13",1669,5,13,1,64,103,38,"pass"
"14",1516,11,13,0,64,113,19,"pass"
"15",1272,25,10,0,47,180,68,"pass"
"16",1088,8,16,0,83,113,61,"pass"
"17",1039,20,10,0,47,192,85,"pass"
"18",909,15,16,0,78,113,65,"pass"
"19",714,6,10,1,76,192,6,"run"
"20",634,13,16,0,77,112,78,"pass"
"21",504,11,17,0,75,202,77,"pass"
"22",414,2,16,1,90,112,71,"run"
"23",298,7,16,1,93,120,63,"pass"
"24",189,6,17,0,82,202,18,"run"
"25",82,16,16,0,96,132,69,"pass"
"26",60,6,20,0,89,202,32,"run"
"27",52,13,20,0,92,202,39,"run"
"28",3459,5,0,0,5,12,58,"pass"
"29",3317,13,0,0,26,13,60,"pass"
"30",3182,9,0,1,24,13,76,"run"
"31",2936,15,0,0,32,54,35,"pass"
"32",2835,11,0,1,26,39,79,"pass"
"33",2716,9,0,0,27,39,56,"pass"
"34",2592,8,3,0,32,58,69,"pass"
"35",2447,5,0,0,115,39,8,"pass"
"36",2320,2,3,1,33,84,54,"run"
"37",2091,4,3,1,47,118,5,"pass"
"38",1845,1,10,1,62,133,22,"run"
"39",1829,13,10,0,69,133,23,"run"
"40",1757,10,3,1,124,53,75,"pass"
"41",1563,2,3,1,138,80,28,"run"
"42",1453,13,3,0,135,80,25,"pass"
"43",1069,12,6,0,135,99,67,"pass"
"44",982,6,13,0,75,172,81,"pass"
"45",900,3,6,0,142,99,68,"pass"
"46",704,9,13,1,79,190,74,"pass"
"47",589,2,13,0,87,190,57,"pass"
"48",499,5,6,1,147,123,52,"pass"
"49",376,5,6,1,152,137,23,"pass"
"50",200,1,13,0,167,140,18,"run"
"51",116,12,13,0,173,140,18,"run"
"52",10,10,13,0,94,236,32,"pass"
"53",566,12,16,0,97,236,77,"pass"
"54",3524,8,0,0,8,-6,73,"pass"
"55",3238,11,0,1,12,28,34,"pass"
"56",3116,1,0,0,21,28,11,"run"
"57",2909,9,0,0,53,-12,46,"pass"
"58",2700,4,0,1,58,0,11,"pass"
"59",2686,10,0,0,25,35,75,"pass"
"60",2579,10,7,0,58,9,85,"pass"
"61",2464,2,0,1,33,46,67,"pass"
"62",2268,8,0,1,34,69,41,"pass"
"63",1960,12,7,0,70,17,67,"pass"
"64",1899,10,7,0,48,87,83,"pass"
"65",1841,6,7,1,74,24,68,"pass"
"66",1591,10,7,0,85,100,33,"pass"
"67",1521,10,7,0,74,31,75,"pass"
"68",1308,6,10,0,101,103,60,"pass"
"69",1237,5,7,0,79,31,31,"run"
"70",789,1,10,1,135,112,66,"run"
"71",702,10,10,0,140,112,64,"pass"
"72",551,22,17,0,116,70,77,"pass"
"73",445,8,10,0,142,112,97,"pass"
"74",274,10,10,0,142,112,75,"pass"
"75",216,6,24,0,131,115,74,"run"
"76",83,5,10,1,145,146,38,"pass"
"77",28,15,10,0,150,146,34,"pass"
"78",3551,9,0,1,0,13,64,"pass"
"79",3472,5,0,0,5,13,47,"pass"
"80",3386,7,0,1,15,0,83,"run"
"81",3258,11,0,0,15,6,72,"pass"
"82",3133,1,0,0,8,19,77,"pass"
"83",3006,4,0,1,38,16,43,"run"
"84",2878,7,0,0,11,25,84,"pass"
"85",2663,10,0,0,56,41,24,"pass"
"86",2644,15,0,0,18,25,88,"run"
"87",2533,11,3,0,59,47,57,"pass"
"88",2332,3,0,0,59,25,38,"pass"
"89",2200,2,3,0,70,56,61,"run"
"90",2058,1,0,0,61,32,86,"run"
"91",1939,9,3,0,84,56,54,"pass"
"92",1908,8,0,0,64,36,77,"pass"
"93",1845,10,3,1,103,67,48,"pass"
"94",1721,11,10,0,124,85,76,"pass"
"95",1653,10,0,0,67,44,32,"pass"
"96",1400,3,3,1,64,58,43,"pass"
"97",1322,4,3,0,70,58,33,"pass"
"98",1088,9,10,0,169,122,20,"pass"
"99",921,8,3,0,74,71,61,"pass"
"100",740,5,13,0,191,139,27,"pass"
"101",680,10,3,0,74,77,75,"pass"
"102",507,4,3,0,74,82,69,"pass"
"103",369,7,24,0,208,142,74,"run"
"104",232,8,3,0,76,82,60,"pass"
"105",137,7,24,1,211,154,78,"pass"
"106",77,11,24,0,206,154,67,"run"
"107",3464,1,0,1,27,0,38,"run"
"108",3233,7,0,0,52,0,13,"run"
"109",3174,10,0,0,52,0,75,"pass"
"110",3055,4,6,1,4,51,68,"pass"
"111",2910,2,6,0,8,64,2,"pass"
"112",2850,19,0,0,52,0,84,"pass"
"113",2770,2,0,0,55,0,67,"run"
"114",2663,8,16,0,8,69,43,"pass"
"115",2465,8,16,0,20,75,20,"pass"
"116",2287,1,19,1,37,91,2,"run"
"117",2152,1,0,1,58,14,61,"pass"
"118",2084,12,0,0,63,14,55,"run"
"119",1952,5,0,1,68,43,21,"pass"
"120",1876,15,0,0,69,43,19,"run"
"121",1856,10,26,0,41,91,74,"run"
"122",1702,2,26,1,49,110,57,"pass"
"123",1586,6,26,1,78,117,19,"pass"
"124",1429,3,0,0,78,43,68,"run"
"125",1269,12,0,0,78,50,65,"pass"
"126",1081,10,33,0,90,117,56,"pass"
"127",1005,9,0,0,96,59,61,"pass"
"128",907,8,0,0,99,59,50,"pass"
"129",786,7,33,1,105,143,16,"pass"
"130",697,7,33,1,114,143,7,"run"
"131",600,3,40,0,116,143,56,"run"
"132",484,1,0,1,103,91,72,"run"
"133",361,3,0,1,108,102,67,"pass"
"134",242,19,0,0,108,104,67,"pass"
"135",120,6,40,0,122,143,34,"run"
"136",3565,3,0,0,7,0,68,"pass"
"137",3476,2,0,1,8,10,79,"pass"
"138",3395,5,0,0,10,15,64,"run"
"139",3306,7,0,0,10,5,88,"pass"
"140",2872,6,0,1,45,53,9,"pass"
"141",2826,8,0,1,12,34,73,"pass"
"142",2713,6,0,1,22,34,50,"run"
"143",2516,1,0,1,45,55,1,"pass"
"144",2121,10,7,0,51,118,17,"pass"
"145",2040,5,7,0,50,55,88,"pass"
"146",1981,5,7,0,56,118,54,"pass"
"147",1867,17,7,1,50,117,64,"pass"
"148",1822,1,7,1,56,135,66,"pass"
"149",1805,10,7,0,56,135,58,"pass"
"150",1718,10,14,0,52,159,63,"pass"
"151",1651,10,7,0,56,139,93,"pass"
"152",1564,6,14,0,56,159,54,"pass"
"153",1436,4,14,0,59,172,59,"pass"
"154",1259,3,14,0,64,174,40,"pass"
"155",1038,2,14,0,74,189,17,"pass"
"156",981,2,14,0,64,194,67,"pass"
"157",743,2,17,0,90,220,21,"pass"
"158",646,12,14,1,67,212,77,"pass"
"159",552,1,14,1,71,220,50,"run"
"160",351,1,20,0,90,226,66,"run"
"161",194,5,21,0,111,253,48,"run"
"162",134,20,20,0,90,226,65,"pass"
"163",107,2,21,1,121,253,22,"run"
"164",37,12,21,0,118,253,22,"qb_kneel"
"165",3435,1,0,0,4,24,60,"run"
"166",3311,13,0,1,-3,13,43,"pass"
"167",3148,2,0,1,22,13,12,"run"
"168",3074,8,0,1,19,21,8,"pass"
"169",2832,7,0,0,10,66,28,"pass"
"170",2779,15,7,0,14,30,80,"pass"
"171",2601,7,3,1,24,66,54,"run"
"172",2348,11,3,0,35,95,11,"pass"
"173",2251,2,7,0,21,31,68,"pass"
"174",2169,20,6,0,45,95,90,"run"
"175",2082,6,7,1,21,51,65,"pass"
"176",2000,6,7,0,27,51,45,"run"
"177",1888,9,6,0,58,96,80,"pass"
"178",1862,10,7,1,27,81,56,"pass"
"179",1724,1,10,1,37,81,66,"run"
"180",1523,1,10,1,51,132,1,"run"
"181",1436,18,6,0,58,105,83,"pass"
"182",1340,12,17,0,58,132,44,"run"
"183",1208,3,6,0,65,105,82,"pass"
"184",1118,8,24,0,58,169,41,"pass"
"185",900,8,24,1,60,192,59,"pass"
"186",773,11,14,0,80,144,76,"pass"
"187",652,5,14,0,94,148,52,"pass"
"188",522,5,38,1,65,245,88,"pass"
"189",395,16,38,0,72,245,82,"run"
"190",324,2,14,1,111,163,46,"run"
"191",254,10,14,0,118,175,23,"pass"
"192",76,8,38,0,87,245,32,"run"
"193",19,5,20,1,122,216,57,"pass"
"194",3524,2,0,0,4,4,84,"pass"
"195",3401,6,0,0,4,0,58,"pass"
"196",3293,2,0,1,12,12,28,"pass"
"197",3145,6,0,0,12,21,16,"pass"
"198",3071,13,0,0,11,7,88,"pass"
"199",2977,1,0,1,22,21,49,"run"
"200",2799,5,0,1,33,52,32,"pass"
"201",2711,7,0,0,14,6,72,"pass"
"202",2583,10,7,0,42,60,42,"pass"
"203",2510,2,0,1,22,19,76,"pass"
"204",2424,5,0,1,27,24,58,"pass"
"205",2292,4,0,1,28,36,47,"pass"
"206",2085,5,0,0,32,55,16,"run"
"207",1924,9,7,0,61,60,56,"pass"
"208",1868,7,3,1,39,65,66,"pass"
"209",1806,3,3,0,39,91,20,"qb_spike"
"210",1745,21,6,0,39,100,86,"pass"
"211",1614,5,7,1,66,99,46,"pass"
"212",1498,2,7,1,68,124,2,"run"
"213",1410,16,6,0,46,115,73,"pass"
"214",1164,2,6,1,47,136,67,"pass"
"215",1011,16,6,0,51,147,48,"pass"
"216",954,7,22,1,96,132,77,"pass"
"217",866,24,6,0,55,164,24,"pass"
"218",749,9,22,1,102,149,74,"pass"
"219",636,10,22,0,102,149,57,"pass"
"220",570,9,9,1,56,190,79,"pass"
"221",453,6,22,1,106,178,38,"pass"
"222",296,15,22,0,108,169,15,"pass"
"223",219,4,9,1,56,209,69,"pass"
"224",131,18,9,0,72,209,53,"run"
"225",109,4,25,0,110,169,46,"run"
"226",10,3,9,0,72,230,69,"pass"
"227",3566,8,0,0,0,2,73,"pass"
"228",3476,4,0,0,0,6,57,"pass"
"229",3385,2,0,0,3,8,86,"run"
"230",3251,1,0,1,3,15,52,"run"
"231",3026,7,0,1,11,56,9,"pass"
"232",2873,2,0,1,4,34,55,"pass"
"233",2536,3,7,0,39,56,18,"run"
"234",2461,4,7,0,29,70,78,"run"
"235",2380,11,7,0,43,63,49,"pass"
"236",2260,1,7,1,34,75,48,"run"
"237",1875,6,14,0,34,150,40,"pass"
"238",1755,11,14,0,33,150,85,"pass"
"239",1451,1,14,0,40,191,25,"run"
"240",1336,11,14,0,47,156,76,"pass"
"241",1205,5,17,0,42,198,53,"pass"
"242",1128,9,14,0,48,164,50,"pass"
"243",974,3,17,0,44,203,68,"pass"
"244",900,13,21,0,53,164,76,"pass"
"245",812,2,17,0,53,203,49,"run"
"246",667,8,21,0,50,164,50,"pass"
"247",491,12,17,0,65,222,25,"pass"
"248",166,1,21,1,58,203,37,"pass"
"249",111,10,21,0,58,223,13,"pass"
"250",55,1,21,0,65,223,1,"run"
"251",3549,1,0,1,4,10,66,"pass"
"252",3449,2,0,1,12,38,53,"pass"
"253",3305,16,0,0,15,32,18,"pass"
"254",3212,4,0,1,6,7,69,"pass"
"255",3051,4,0,1,33,7,44,"run"
"256",3010,10,0,1,33,17,35,"pass"
"257",2875,4,0,1,29,39,19,"pass"
"258",2742,1,0,1,30,55,1,"run"
"259",2272,28,7,0,32,67,88,"pass"
"260",2066,4,10,0,61,89,23,"pass"
"261",1919,7,7,0,35,101,38,"pass"
"262",1839,6,13,0,65,103,21,"pass"
"263",1822,10,7,1,35,112,71,"pass"
"264",1714,4,7,1,41,139,70,"pass"
"265",1535,8,7,1,35,202,52,"pass"
"266",1388,5,13,0,70,103,65,"pass"
"267",1068,6,14,0,49,256,20,"pass"
"268",977,4,13,0,76,102,65,"pass"
"269",916,1,17,1,60,256,70,"run"
"270",594,1,17,0,71,307,1,"pass"
"271",563,8,13,0,76,104,73,"pass"
"272",470,8,24,1,68,334,73,"pass"
"273",307,5,24,0,85,334,35,"pass"
"274",248,26,13,0,76,112,81,"pass"
"275",135,3,27,1,93,334,36,"run"
"276",61,7,27,0,92,334,27,"run"
"277",3525,1,0,0,1,8,35,"run"
"278",3358,7,0,1,12,21,19,"run"
"279",3272,3,0,1,14,24,3,"pass"
"280",2959,10,0,1,13,48,38,"pass"
"281",2832,3,0,1,20,63,18,"pass"
"282",2700,2,7,1,24,28,67,"run"
"283",2463,5,7,0,27,81,5,"pass"
"284",2332,1,6,0,32,74,55,"run"
"285",2132,34,6,0,43,67,58,"run"
"286",1973,6,10,0,31,93,79,"pass"
"287",1745,4,13,1,54,125,68,"run"
"288",1515,7,13,0,71,129,41,"pass"
"289",1340,12,10,1,44,105,46,"pass"
"290",1031,6,10,0,47,128,6,"pass"
"291",939,3,13,1,75,152,73,"pass"
"292",855,10,13,0,78,149,53,"pass"
"293",660,1,13,1,83,166,23,"pass"
"294",544,5,13,0,95,169,5,"pass"
"295",351,11,16,0,94,177,76,"pass"
"296",180,8,17,1,55,200,56,"pass"
"297",120,7,17,1,66,200,31,"run"
"298",20,14,17,0,61,200,27,"qb_kneel"
"299",3380,4,0,1,11,0,88,"run"
"300",3189,2,0,1,28,36,35,"run"
"301",2982,1,0,1,58,36,1,"run"
"302",2851,3,0,0,39,75,34,"run"
"303",2830,8,0,1,39,86,39,"pass"
"304",2700,7,7,0,58,44,72,"pass"
"305",2510,5,7,0,53,158,5,"pass"
"306",2351,1,7,1,117,60,1,"pass"
"307",2300,2,10,0,61,158,67,"pass"
"308",2241,2,14,0,118,65,60,"pass"
"309",1994,7,10,0,62,200,42,"pass"
"310",1880,6,14,1,118,78,71,"pass"
"311",1825,10,14,0,120,106,34,"run"
"312",1698,2,17,1,143,106,55,"run"
"313",1179,12,20,0,68,307,26,"pass"
"314",1093,1,24,0,177,115,87,"pass"
"315",882,1,24,1,199,161,10,"run"
"316",784,15,27,1,68,358,80,"pass"
"317",651,15,27,0,68,395,35,"pass"
"318",465,1,31,1,215,174,56,"run"
"319",396,12,31,1,218,198,55,"pass"
"320",242,5,31,0,233,202,7,"pass"
"321",227,10,30,1,68,442,75,"pass"
"322",108,4,30,1,72,466,4,"pass"
"323",69,29,34,0,233,229,84,"pass"
"324",3424,1,0,1,22,14,39,"run"
"325",3303,11,0,1,39,22,23,"run"
"326",3208,6,0,0,42,22,6,"pass"
"327",3012,5,0,0,20,14,42,"pass"
"328",2823,9,0,0,21,14,55,"pass"
"329",2726,10,16,0,49,38,84,"pass"
"330",2613,7,0,0,20,18,44,"pass"
"331",2553,9,16,0,50,40,91,"pass"
"332",2447,5,0,0,19,24,52,"pass"
"333",2382,10,16,0,53,40,86,"run"
"334",2289,6,0,1,22,34,67,"pass"
"335",2212,10,0,1,22,49,58,"pass"
"336",1972,14,16,0,56,47,79,"pass"
"337",1744,4,14,0,31,147,69,"pass"
"338",1613,3,16,1,71,64,49,"run"
"339",1479,20,16,0,74,75,41,"run"
"340",1319,4,14,1,42,171,58,"pass"
"341",1232,1,14,1,50,175,31,"run"
"342",1140,17,14,0,53,181,35,"pass"
"343",1117,21,14,0,53,177,39,"pass"
"344",982,3,19,1,79,82,73,"run"
"345",811,7,19,0,82,117,30,"pass"
"346",743,10,14,0,53,201,38,"pass"
"347",613,3,14,0,55,218,17,"run"
"348",377,11,22,0,82,170,41,"pass"
"349",149,12,20,0,65,288,43,"pass"
"350",129,6,25,0,98,170,48,"run"
"351",95,1,20,1,69,297,47,"run"
"352",51,13,20,0,76,316,22,"pass"
"353",3542,5,0,0,0,5,70,"pass"
"354",3429,1,0,0,3,6,45,"run"
"355",3188,5,0,0,-2,12,68,"pass"
"356",3032,14,7,0,28,56,30,"pass"
"357",2901,8,0,0,-2,14,66,"pass"
"358",2585,20,0,0,-2,9,85,"pass"
"359",2432,7,17,1,44,137,47,"pass"
"360",2312,7,17,0,47,137,13,"pass"
"361",2225,6,0,0,2,9,60,"pass"
"362",2173,6,20,1,51,144,72,"pass"
"363",2041,1,20,1,67,144,56,"run"
"364",1910,15,20,0,69,154,42,"pass"
"365",1884,1,0,1,26,18,86,"run"
"366",1842,3,0,0,26,49,16,"pass"
"367",1635,6,7,0,28,89,45,"pass"
"368",1492,8,27,1,135,195,65,"pass"
"369",1371,6,27,0,139,195,46,"pass"
"370",1258,4,7,0,30,93,88,"pass"
"371",1150,2,7,1,32,105,16,"run"
"372",1072,4,7,0,32,111,8,"pass"
"373",900,4,27,1,153,220,75,"pass"
"374",776,2,27,0,161,220,45,"pass"
"375",650,1,7,1,37,154,53,"run"
"376",470,11,27,1,188,220,41,"run"
"377",337,8,27,0,190,220,22,"pass"
"378",301,2,7,1,37,171,67,"pass"
"379",189,11,7,1,41,217,61,"pass"
"380",120,10,7,0,41,232,30,"pass"
"381",3567,7,0,0,8,0,72,"pass"
"382",3544,10,0,0,0,2,67,"pass"
"383",3203,2,0,0,16,53,26,"run"
"384",3089,6,0,0,4,12,61,"pass"
"385",3004,6,0,0,19,54,70,"pass"
"386",2950,6,0,0,8,12,14,"pass"
"387",2816,2,0,0,21,60,75,"pass"
"388",2700,4,3,0,15,12,84,"run"
"389",2481,11,0,1,20,144,39,"pass"
"390",2427,5,3,0,21,12,77,"run"
"391",2263,1,7,1,24,190,41,"pass"
"392",2148,7,7,0,23,203,7,"pass"
"393",2110,5,3,0,26,12,70,"pass"
"394",2012,7,10,0,24,211,83,"pass"
"395",1920,2,3,1,29,26,53,"pass"
"396",1860,4,10,1,24,222,69,"pass"
"397",1720,6,10,1,40,74,71,"pass"
"398",1435,6,10,1,47,106,29,"pass"
"399",1353,8,10,0,47,114,19,"pass"
"400",1266,7,10,1,48,121,7,"pass"
"401",1180,3,10,1,26,286,68,"pass"
"402",989,13,10,1,38,320,33,"pass"
"403",909,1,10,1,40,334,11,"run"
"404",694,8,17,0,57,127,63,"run"
"405",608,7,17,0,41,341,77,"pass"
"406",526,1,17,0,60,133,68,"run"
"407",356,4,17,0,66,156,40,"pass"
"408",247,7,17,0,41,344,72,"pass"
"409",219,3,20,1,76,162,43,"run"
"410",120,10,20,1,76,173,39,"pass"
"411",39,12,20,0,73,173,30,"qb_kneel"
"412",3529,18,0,0,2,0,32,"pass"
"413",3431,5,0,1,0,42,45,"pass"
"414",3325,7,0,0,3,64,8,"pass"
"415",2928,7,3,0,41,27,12,"pass"
"416",2796,12,3,0,3,67,74,"pass"
"417",2737,9,6,0,43,27,76,"run"
"418",2558,10,3,0,10,89,69,"pass"
"419",2418,6,6,0,47,27,73,"pass"
"420",2315,1,3,1,22,91,19,"run"
"421",2265,10,3,0,22,91,14,"pass"
"422",2208,5,6,0,52,27,70,"pass"
"423",2117,15,6,0,24,91,64,"pass"
"424",1909,10,6,0,63,83,13,"pass"
"425",1837,8,6,0,24,142,31,"pass"
"426",1604,3,6,1,31,187,87,"pass"
"427",1487,1,6,0,39,187,33,"run"
"428",1384,6,9,0,87,105,57,"pass"
"429",1190,7,9,0,37,200,56,"pass"
"430",1094,5,9,0,89,108,84,"pass"
"431",988,7,9,1,44,226,19,"pass"
"432",900,10,9,1,94,124,75,"pass"
"433",680,9,9,0,98,147,27,"pass"
"434",521,11,16,1,45,254,73,"pass"
"435",419,9,16,0,49,256,57,"pass"
"436",353,2,12,1,106,168,65,"pass"
"437",176,12,12,0,104,198,17,"pass"
"438",115,6,16,1,55,305,67,"pass"
"439",99,4,16,1,72,305,20,"run"
"440",3447,2,0,1,6,22,56,"pass"
"441",3204,4,0,1,31,38,10,"pass"
"442",3027,8,0,0,0,12,73,"pass"
"443",2907,10,7,0,41,55,41,"pass"
"444",2814,9,0,0,1,13,50,"pass"
"445",2615,5,7,0,53,55,73,"pass"
"446",2544,1,7,1,55,75,55,"run"
"447",2402,3,7,0,64,93,27,"run"
"448",2227,2,7,1,17,30,36,"pass"
"449",2105,1,7,1,28,30,16,"run"
"450",1989,5,7,0,28,35,9,"pass"
"451",1811,29,10,0,84,141,32,"run"
"452",1630,2,10,1,40,84,23,"pass"
"453",1424,3,13,1,90,197,3,"pass"
"454",1348,3,10,1,42,104,68,"pass"
"455",1239,4,10,1,48,116,49,"pass"
"456",1126,3,10,1,48,145,12,"pass"
"457",1058,3,10,1,49,148,3,"pass"
"458",885,3,20,1,125,214,37,"run"
"459",820,2,20,1,128,222,25,"run"
"460",702,5,20,1,133,239,17,"pass"
"461",627,11,17,0,54,154,76,"pass"
"462",498,15,27,0,146,237,74,"run"
"463",412,10,17,1,54,183,67,"pass"
"464",343,4,17,0,54,189,45,"pass"
"465",242,1,17,1,66,218,7,"run"
"466",212,4,17,1,66,222,4,"pass"
"467",155,3,27,1,165,237,68,"run"
"468",75,1,27,1,179,237,47,"run"
"469",3571,8,0,1,2,16,73,"pass"
"470",3397,11,0,1,19,39,47,"pass"
"471",3288,12,0,0,31,46,15,"pass"
"472",3156,5,0,1,5,64,37,"pass"
"473",2998,1,3,1,45,46,66,"run"
"474",2700,6,3,0,56,79,22,"pass"
"475",2616,13,7,0,8,64,53,"pass"
"476",2458,4,3,1,61,151,4,"run"
"477",2403,9,7,0,9,65,74,"pass"
"478",2263,8,10,0,72,158,79,"pass"
"479",2030,4,7,1,40,95,35,"pass"
"480",1939,13,7,0,40,95,27,"pass"
"481",1831,3,10,1,80,202,43,"pass"
"482",1758,2,10,1,52,95,67,"run"
"483",1638,23,10,0,54,103,76,"pass"
"484",1411,1,13,1,96,239,42,"pass"
"485",1322,6,13,0,100,244,37,"pass"
"486",1154,14,13,1,104,272,32,"pass"
"487",1062,8,10,1,51,117,73,"pass"
"488",975,2,10,1,61,117,56,"run"
"489",946,10,10,0,61,117,54,"pass"
"490",872,10,20,0,101,284,80,"pass"
"491",764,10,10,0,61,117,84,"pass"
"492",662,9,20,0,103,299,64,"pass"
"493",441,10,10,1,67,177,54,"pass"
"494",331,5,20,1,108,307,70,"pass"
"495",163,17,20,0,122,317,53,"pass"
"496",77,19,17,0,67,211,84,"pass"
"497",3514,1,0,1,3,11,66,"pass"
"498",3235,8,0,0,28,32,25,"pass"
"499",3192,3,7,0,0,7,84,"pass"
"500",3107,16,3,0,28,33,25,"pass"
"501",3008,18,7,0,-3,22,75,"pass"
"502",2876,4,3,1,34,50,89,"pass"
"503",2732,1,3,0,63,50,43,"pass"
"504",2567,3,7,1,-1,57,68,"pass"
"505",2494,12,7,0,-3,57,40,"pass"
"506",2451,12,11,0,72,65,93,"pass"
"507",2358,5,7,0,2,57,34,"pass"
"508",2275,7,11,0,75,65,72,"pass"
"509",2219,10,10,1,2,68,82,"pass"
"510",2122,11,11,0,74,65,76,"pass"
"511",2029,8,16,1,2,151,51,"pass"
"512",1980,10,16,0,2,151,41,"pass"
"513",1863,7,11,0,77,102,30,"pass"
"514",1787,10,16,1,1,176,75,"pass"
"515",1615,2,16,0,12,184,31,"pass"
"516",1401,16,19,0,12,222,58,"pass"
"517",1251,3,22,1,164,119,56,"pass"
"518",1191,25,22,0,164,133,66,"pass"
"519",984,9,19,0,51,222,41,"pass"
"520",900,6,22,1,166,153,95,"pass"
"521",688,2,22,0,186,176,35,"run"
"522",646,26,22,0,186,189,59,"pass"
"523",589,10,19,0,51,222,56,"pass"
"524",498,13,22,1,183,205,97,"pass"
"525",291,13,22,0,195,205,67,"pass"
"526",185,1,26,0,57,222,66,"run"
"527",113,7,22,0,198,235,47,"pass"
"528",3546,12,0,0,3,0,33,"pass"
"529",3381,11,0,0,2,0,61,"pass"
"530",3301,7,0,1,10,26,70,"pass"
"531",3142,3,0,1,27,33,34,"run"
"532",2939,1,0,0,36,51,1,"pass"
"533",2796,1,0,1,11,32,60,"pass"
"534",2747,10,0,1,35,32,43,"run"
"535",2622,2,0,1,37,40,11,"run"
"536",2524,15,3,1,39,73,88,"pass"
"537",2360,9,3,0,64,73,46,"run"
"538",1995,6,7,0,61,69,15,"pass"
"539",1835,1,3,0,94,92,26,"run"
"540",1782,15,9,0,107,105,80,"pass"
"541",1135,11,9,0,156,118,13,"pass"
"542",871,3,12,1,164,163,57,"pass"
"543",756,8,12,0,166,167,10,"pass"
"544",667,8,24,0,75,151,73,"pass"
"545",569,2,19,1,184,167,57,"run"
"546",496,7,19,0,187,196,21,"pass"
"547",409,1,24,0,84,151,66,"run"
"548",299,3,22,1,187,237,42,"pass"
"549",169,3,22,0,196,237,25,"run"
"550",107,6,22,0,212,237,12,"run"
"551",48,10,24,0,84,151,75,"pass"
"552",3538,3,0,1,0,30,56,"pass"
"553",3467,5,0,1,5,35,40,"pass"
"554",3263,5,0,0,-3,8,77,"pass"
"555",3178,4,0,1,3,36,62,"pass"
"556",3108,1,0,1,5,45,25,"run"
"557",3027,6,0,0,9,50,19,"pass"
"558",2899,6,0,1,10,58,8,"pass"
"559",2843,7,14,0,43,50,72,"pass"
"560",2786,7,7,0,13,58,63,"pass"
"561",2664,20,14,0,48,56,78,"pass"
"562",2575,8,7,0,25,58,60,"pass"
"563",2201,8,7,1,32,110,35,"pass"
"564",2073,5,7,0,37,110,11,"pass"
"565",1983,4,21,1,83,120,69,"pass"
"566",1914,3,21,1,90,128,50,"pass"
"567",1872,3,21,1,90,141,35,"pass"
"568",1837,7,21,1,90,166,15,"pass"
"569",1726,13,10,1,36,136,78,"pass"
"570",1626,5,10,0,41,140,53,"pass"
"571",1498,12,10,0,43,135,46,"pass"
"572",1292,10,28,0,100,216,33,"pass"
"573",1081,7,10,1,50,147,59,"pass"
"574",851,12,10,0,50,194,12,"pass"
"575",717,7,31,0,100,224,72,"pass"
"576",411,4,31,0,119,227,56,"pass"
"577",319,11,20,0,52,266,89,"pass"
"578",252,10,20,1,52,308,71,"pass"
"579",168,13,20,0,52,330,28,"pass"
"580",120,5,31,0,126,227,54,"run"
"581",35,3,20,1,52,367,65,"pass"
"582",14,10,20,1,52,384,54,"pass"
"583",3526,4,0,1,1,11,69,"pass"
"584",3391,6,0,0,5,28,42,"pass"
"585",3276,1,0,0,4,5,81,"pass"
"586",3241,5,0,0,5,28,64,"pass"
"587",3186,3,0,1,4,25,79,"pass"
"588",3007,20,0,0,4,64,48,"pass"
"589",2733,2,0,0,8,46,67,"pass"
"590",2590,7,0,0,16,46,14,"pass"
"591",2467,7,0,0,13,82,61,"pass"
"592",2254,5,3,1,30,51,69,"pass"
"593",2102,11,3,0,44,56,51,"run"
"594",1945,14,0,0,13,102,54,"pass"
"595",1715,10,7,1,44,178,50,"pass"
"596",1596,3,7,1,45,193,9,"pass"
"597",1422,10,6,0,53,111,62,"pass"
"598",1239,18,14,0,48,221,85,"pass"
"599",1136,14,6,0,54,111,69,"pass"
"600",1074,21,14,0,48,215,88,"pass"
"601",832,4,6,0,56,172,4,"pass"
"602",666,7,14,0,72,236,36,"pass"
"603",502,20,14,0,77,251,20,"pass"
"604",342,6,9,1,74,204,31,"pass"
"605",287,10,9,0,74,215,14,"pass"
"606",123,6,17,1,95,305,66,"pass"
"607",18,6,17,0,100,305,6,"qb_kneel"
"608",3551,3,0,0,0,7,68,"pass"
"609",3360,2,0,1,12,11,55,"run"
"610",3238,5,0,0,18,11,47,"run"
"611",3126,2,0,1,6,14,40,"run"
"612",3031,3,0,0,7,21,28,"run"
"613",2936,9,0,0,5,41,9,"pass"
"614",2854,10,0,0,23,11,75,"pass"
"615",2693,7,3,0,12,54,50,"pass"
"616",2567,9,0,0,24,11,84,"pass"
"617",2449,1,3,0,14,61,38,"run"
"618",2309,4,3,0,25,66,8,"pass"
"619",2071,7,11,0,46,116,12,"pass"
"620",1936,2,7,1,63,86,44,"run"
